NiN 2 kode;FP;SP;TKode;HTGKode;HTKode;GTKode
T19-1,2;1;4;C-PE-NA;NA-T;T-E-05;T-E-05-10
T24;4;4;C-PE-NA;NA-T;T-E-06;T-E-06-0
T24-1;4;4;C-PE-NA;NA-T;T-E-06;T-E-06-01
T24-2;4;4;C-PE-NA;NA-T;T-E-06;T-E-06-02
T24-3;2;4;C-PE-NA;NA-T;T-E-06;T-E-06-03
T24-3;1;4;C-PE-NA;NA-T;T-E-06;T-E-06-04
ny;-;;C-PE-NA;NA-T;T-E-06;T-E-06-05
T23;4;4;C-PE-NA;NA-T;T-E-07;T-E-07-0
T23-1;4;4;C-PE-NA;NA-T;T-E-07;T-E-07-01
T18;1;4;C-PE-NA;NA-T;T-E-08;T-E-08-0
T18-1,2,3;1;3;C-PE-NA;NA-T;T-E-08;T-E-08-01
T18-2,3,4,5;1;4;C-PE-NA;NA-T;T-E-08;T-E-08-02
T18-1,2,3;0;3;C-PE-NA;NA-T;T-E-08;T-E-08-03
T18-2,3,4,5;0;4;C-PE-NA;NA-T;T-E-08;T-E-08-04
T20;4;3;C-PE-NA;NA-T;T-E-09;T-E-09-0
T20-1;3;4;C-PE-NA;NA-T;T-E-09;T-E-09-01
T20-1,2;1;4;C-PE-NA;NA-T;T-E-09;T-E-09-02
T20-2;2;2;C-PE-NA;NA-T;T-E-09;T-E-09-03
T4;0;4;C-PE-NA;NA-T;T-F-01;T-F-01-0
T4-10;0;4;C-PE-NA;NA-T;T-F-01;T-F-01-01
T4-10,11;0;4;C-PE-NA;NA-T;T-F-01;T-F-01-02
T30;4;4;C-PE-NA;NA-T;T-F-02;T-F-02-0
T30-3;4;1900-01-04 00:00:00;C-PE-NA;NA-T;T-F-02;T-F-02-01
T30-4,7;4;4;C-PE-NA;NA-T;T-F-02;T-F-02-02
T30-5,6;4;4;C-PE-NA;NA-T;T-F-02;T-F-02-03
T30-1;4;4;C-PE-NA;NA-T;T-F-02;T-F-02-04
T30-2;4;4;C-PE-NA;NA-T;T-F-02;T-F-02-05
ny;-;;C-PE-NA;NA-T;T-F-02;T-F-02-06
T17-4,27,28,29;3;3;C-PE-NA;NA-T;T-G-01;T-G-01-0
T28-1,2,3;2;2;C-PE-NA;NA-T;T-G-01;T-G-01-01
ny;-;;C-PE-NA;NA-T;T-G-01;T-G-01-02
ny;-;;C-PE-NA;NA-T;T-G-01;T-G-01-03
ny;-;;C-PE-NA;NA-T;T-G-01;T-G-01-04
ny;-;;C-PE-NA;NA-T;T-G-01;T-G-01-05
ny;-;;C-PE-NA;NA-T;T-G-01;T-G-01-06
ny;-;;C-PE-NA;NA-T;T-G-01;T-G-01-07
ny;-;;C-PE-NA;NA-T;T-G-01;T-G-01-08
T27-8, T28-1,2,3;2;2;C-PE-NA;NA-T;T-G-01;T-G-01-09
T27-6;4;3;C-PE-NA;NA-T;T-G-01;T-G-01-10
T27-7;2;4;C-PE-NA;NA-T;T-G-01;T-G-01-11
